16 16
3
9
4
10 9
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
 0; 0; 1; 0; 1; 0; 0; 1; 1; 0; 0; 0; 2; 0; 0; 0
 0; 1; 1; 1; 1; 1; 1; 1; 1; 2; 2; 2; 2; 2; 0; 0
 0; 1; 1; 1; 1; 1; 1; 1; 1; 2; 2; 2; 2;2P; 2; 0
 0; 1; 1; 1; 1; 1; 1; 1; 1; 2; 2; 2; 2; 2; 2; 0
 0; 0; 1; 1; 1; 1; 1; 1; 1; 2; 2;2P; 2; 2; 2; 0
 0; 1; 1; 1; 1; 1; 1; 1; 1; 2; 2; 2; 2; 2; 2; 0
 0; 1; 1; 1; 1; 1; 1; 1; 1; 2; 2; 2; 2; 2; 0; 0
 0; 1; 1; 1;1M;1M; 1; 2; 2; 2; 2; 2; 2; 2; 0; 0
 0; 3;3M;3M;3M;2M; 2; 2; 2; 2; 2; 2; 2; 2; 0; 0
 0; 0;3M;3M; 3; 2; 2; 2; 2;2T; 2; 2; 2;2M;2M; 0
 0; 0; 3; 3; 3;2M;2M;2M; 2; 2; 2; 2; 3;3M;3M; 0
 0; 3; 3; 3; 3;3M; 3; 3; 3; 3; 3; 3; 3; 3; 3; 0
 0; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 3; 0; 0
 0; 3; 0; 3; 3; 0; 3; 3; 0; 0; 0; 0; 0; 0; 3; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
